country,four_regions,eight_regions,six_regions,nine_regions
Algeria,africa,africa_north,middle_east_north_africa,africa_north
Djibouti,africa,africa_north,middle_east_north_africa,africa_north
Egypt,africa,africa_north,middle_east_north_africa,africa_north
Libya,africa,africa_north,middle_east_north_africa,africa_north
Morocco,africa,africa_north,middle_east_north_africa,africa_north
Tunisia,africa,africa_north,middle_east_north_africa,africa_north
Angola,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Benin,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Botswana,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Burkina Faso,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Burundi,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Cameroon,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Cape Verde,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Central African Republic,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Chad,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Comoros,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
"Congo, Dem. Rep.",africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
"Congo, Rep.",africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Cote d'Ivoire,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Equatorial Guinea,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Eritrea,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Ethiopia,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Gabon,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Gambia,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Ghana,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Guinea,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Guinea-Bissau,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Kenya,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Lesotho,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Liberia,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Madagascar,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Malawi,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Mali,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Mauritania,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Mauritius,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Mozambique,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Namibia,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Niger,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Nigeria,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Rwanda,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Sao Tome and Principe,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Senegal,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Seychelles,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Sierra Leone,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Somalia,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
South Africa,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
South Sudan,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Sudan,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Swaziland,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Tanzania,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Togo,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Uganda,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Zambia,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Zimbabwe,africa,africa_sub_saharan,sub_saharan_africa,africa_sub_saharan
Antigua and Barbuda,americas,america_north,america,america_central
Bahamas,americas,america_north,america,america_central
Barbados,americas,america_north,america,america_central
Belize,americas,america_north,america,america_central
Costa Rica,americas,america_north,america,america_central
Cuba,americas,america_north,america,america_central
Dominica,americas,america_north,america,america_central
Dominican Republic,americas,america_north,america,america_central
El Salvador,americas,america_north,america,america_central
Grenada,americas,america_north,america,america_central
Guatemala,americas,america_north,america,america_central
Honduras,americas,america_north,america,america_central
Jamaica,americas,america_north,america,america_central
Panama,americas,america_north,america,america_central
St. Kitts and Nevis,americas,america_north,america,america_central
St. Lucia,americas,america_north,america,america_central
St. Vincent and the Grenadines,americas,america_north,america,america_central
Trinidad and Tobago,americas,america_north,america,america_central
Canada,americas,america_north,america,america_north
Haiti,americas,america_north,america,america_central
Mexico,americas,america_north,america,america_north
Nicaragua,americas,america_north,america,america_central
United States,americas,america_north,america,america_north
Argentina,americas,america_south,america,america_south
Bolivia,americas,america_south,america,america_south
Brazil,americas,america_south,america,america_south
Chile,americas,america_south,america,america_south
Colombia,americas,america_south,america,america_south
Ecuador,americas,america_south,america,america_south
Guyana,americas,america_south,america,america_south
Paraguay,americas,america_south,america,america_south
Peru,americas,america_south,america,america_south
Suriname,americas,america_south,america,america_south
Uruguay,americas,america_south,america,america_south
Venezuela,americas,america_south,america,america_south
Afghanistan,asia,asia_west,south_asia,asia_west
Bahrain,asia,asia_west,middle_east_north_africa,asia_west
Bangladesh,asia,asia_west,south_asia,asia_west
Bhutan,asia,asia_west,south_asia,asia_west
India,asia,asia_west,south_asia,asia_west
Iran,asia,asia_west,middle_east_north_africa,asia_west
Iraq,asia,asia_west,middle_east_north_africa,asia_west
Israel,asia,asia_west,middle_east_north_africa,asia_west
Jordan,asia,asia_west,middle_east_north_africa,asia_west
Kazakhstan,asia,asia_west,europe_central_asia,asia_west
Kuwait,asia,asia_west,middle_east_north_africa,asia_west
Kyrgyz Republic,asia,asia_west,europe_central_asia,asia_west
Lebanon,asia,asia_west,middle_east_north_africa,asia_west
Maldives,asia,asia_west,south_asia,asia_west
Nepal,asia,asia_west,south_asia,asia_west
Oman,asia,asia_west,middle_east_north_africa,asia_west
Pakistan,asia,asia_west,south_asia,asia_west
Palestine,asia,asia_west,middle_east_north_africa,asia_west
Qatar,asia,asia_west,middle_east_north_africa,asia_west
Saudi Arabia,asia,asia_west,middle_east_north_africa,asia_west
Sri Lanka,asia,asia_west,south_asia,asia_west
Syria,asia,asia_west,middle_east_north_africa,asia_west
Tajikistan,asia,asia_west,europe_central_asia,asia_west
Turkmenistan,asia,asia_west,europe_central_asia,asia_west
United Arab Emirates,asia,asia_west,middle_east_north_africa,asia_west
Uzbekistan,asia,asia_west,europe_central_asia,asia_west
Yemen,asia,asia_west,middle_east_north_africa,asia_west
